0,53896
1,46472
2,49626
3,47520
4,52900
5,52102
6,40648
7,58532
8,39476
9,54288
10,43608
11,46796
12,47268
13,40382
14,52458
15,43156
16,43256
17,54412
18,47976
19,51140
20,46484
21,66621
22,55288
23,55829
24,49288
25,55496
26,48020
27,48324
28,52424
29,43114
30,49760
31,45836
32,52136
33,55470
34,44406
35,48088
36,44812
37,51274
38,38596
39,52018
40,45456
41,50088
42,51904
43,42924
44,50194
45,44914
46,45633
47,40278
48,46938
49,43760
50,40360
51,52670
52,48594
53,48932
54,44933
55,59108
56,45914
57,73992
58,61168
59,49409
60,47400
61,45544
62,56356
63,48668
64,46352
65,52468
66,50944
67,64169
68,48968
69,53252
70,43366
71,52730
72,37862
73,55096
74,45710
75,51630
76,43668
77,44480
78,49252
79,42290
80,50772
81,46096
82,64672
83,52045
84,45380
85,48960
86,61332
87,44982
88,40836
89,51808
90,70142
91,43700
92,42879
93,45704
94,49288
95,43290
96,55796
97,53750
98,49456
99,52937
Total,51084
