0,39646
1,38412
2,48276
3,36898
4,45356
5,50532
6,38264
7,37476
8,44838
9,36088
10,64293
11,51244
12,40718
13,48140
14,40728
15,41568
16,49264
17,50604
18,45244
19,40666
20,42596
21,69745
22,42306
23,34210
24,38884
25,40708
26,43882
27,39464
28,51525
29,40792
30,34899
31,40584
32,44360
33,42609
34,53155
35,51253
36,42532
37,36272
38,35884
39,40876
40,56887
41,54850
42,40380
43,37832
44,39628
45,47558
46,35964
47,42068
48,39076
49,43926
50,38556
51,39214
52,45100
53,40658
54,52479
55,42696
56,43012
57,36076
58,49860
59,45188
60,55088
61,38850
62,43276
63,40316
64,46924
65,44576
66,49240
67,37458
68,36417
69,38600
70,60409
71,65311
72,59411
73,35680
74,37752
75,42412
76,42998
77,41070
78,42568
79,43500
80,43432
81,55958
82,41224
83,38120
84,43364
85,41040
86,40876
87,40868
88,37204
89,45084
90,40212
91,43774
92,47727
93,48848
94,46208
95,37006
96,39920
97,40290
98,39872
99,41608
Total,49500
